	target_text	input_text	prefix
7329	How often did the money help people?	[Frequency] He estimated the money will help handle at least another 180 cases next year.	ask_question
5438	How long has Ransome been with Fern Simon?	[Event Duration] Ransome looks after her as well as for young Fern Simon , who has declared her love for him .	ask_question
477	How often did she arrive per week?	[Frequency] The next evening, she arrived with a stack of glistening stopboxes containing sushi, sashimi, oysters in their shells, and Terran vegetables fresh plucked from their hydroponic beds.	ask_question
11766	Is the French state still being centralized?	[Stationarity] He argued that the importance of the French Revolution was to continue the process of modernizing and centralizing the French state which had begun under King Louis XIV.	ask_question
7773	What happened after Brian Epstein died?	[Event Ordering] The movie then jumps to 1967 , after Brian Epstein has died .	ask_question
8227	Were the Beatles still doing a press conference the next day?	[Stationarity] The Beatles are giving a press conference about their new film , Magical Mystery Tour .	ask_question
7416	How often are water reservoirs made in Nevada?	[Frequency] Not only did it create jobs, but it also created Lake Mead, the massive reservoir that today provides water to all of southern Nevada.	ask_question
11902	How long did it take for to get everything ready?	[Event Duration] When everything was ready, she removed the seedlings from their trays and planted them in her garden.	ask_question
12940	How often do they break up?	[Frequency] It is also a love story , between Ace and Tobio , a trans woman .	ask_question
2480	How long did they look at each other?	[Event Duration] He turned, and across the court-room the eyes of the financier and the stenographer met.	ask_question
5271	How long will winter last?	[Event Duration] As winter approaches, some plants respond by their leaves changing color.	ask_question
11159	What did John do after opening the letter?	[Event Ordering] John finds a letter addressed to him , with the word `` Breathe '' written on it .	ask_question
3685	How often is the digestive system used?	[Frequency] The major organs of the digestive system include the mouth, esophagus, stomach, and small and large in- testines.	ask_question
5296	How often did he use his favorite chair?	[Frequency] He jumped on his favorite chair and looked down as Maggie ran under it.	ask_question
2289	How often are Continents created?	[Frequency] It too has many Continents are much older than ocean basins.	ask_question
5927	At what time did the travelers arrive at the airport?	[Typical Time] Among the travelers were Mohamed Atta and Abdul Aziz al Omari, who arrived at the airport in Portland, Maine.	ask_question
9772	How long was Bailey's award ceremony?	[Event Duration] Bailey received the award for his three years of volunteer work at Indiana Pro Bono Commission.	ask_question
3726	How long did it take Picasso to enter the building?	[Event Duration] Picasso manages to enter the building , but is prevented from killing Nunemarcher by Cross , and escapes after being shot by Kane .	ask_question
1808	How often does the group move?	[Frequency] They practiced a slash-and-burn agriculture of yams and millet, a technique that exhausted the soil and imposed a semi-nomadic existence from one jungle clearing to another.	ask_question
6889	How long does it take for potential clients to learn about the services available?	[Event Duration] Our emphasis has been on having our potential clients know about us and deliver services to them, Dudovitz said.	ask_question
2071	How long did it take for fossils to be made?	[Event Duration] The fossils that are very distinct at certain times of Earths history are called index fossils.	ask_question
7375	Was Gonzo still having a massage the next week?	[Stationarity] Gonzo treated himself to a massage today to try to work out all of his stuntman kinks.	ask_question
5950	What happens after story time?	[Event Ordering] Their mother told them they could go to the library every Tuesday for their story time.	ask_question
9372	How long did it take to introduce Christianity to a typical person?	[Event Duration] Christianity was introduced into Gaul in the first century a.d.	ask_question
2899	When is he wanting to take them out	"[Typical Time] The Vice President's guidance was we need to take them out."""	ask_question
8411	How long did they stay in China?	[Event Duration] Later in the month, they traveled to China by train and were allowed to see how different life was over there.	ask_question
12804	How often does he visit the tomb?	[Frequency] His son and successor, Caracalla, a great admirer, visited the tomb during his own reign.	ask_question
6311	How long had they been in business?	[Event Duration] Casino operators had to reassess the nature of their business.	ask_question
11626	How often does he perform in TV shows?	[Frequency] He then starred in a TV show Which was a failure both critically and commercially .	ask_question
10662	When did the bidding take place?	[Typical Time] Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid.	ask_question
62	How often was Joey safe and sound?	[Frequency] So from now on, Marsha takes extra special care to make sure Joey is safe and sound at all times.	ask_question
2758	Will the building still be filled with art after the show?	[Stationarity] He filled three stories of the building with his art in 36 hours under tight security, as only a few museum staff were aware of the shows' imminent arrival.	ask_question
11171	"How long it take John to read the word ""breathe""?"	[Event Duration] John finds a letter addressed to him , with the word `` Breathe '' written on it .	ask_question
12350	How long does it take for a plant to overtake a non-native area?	[Event Duration] Another way is when an animal or plant is brought to an area where it does not belong.	ask_question
303	Has Einstein always known about quantum theory?	"[Stationarity] Einstein was displeased with quantum theory and mechanics (the very theory he helped create), despite its acceptance by other physicists, stating that God ""is not playing at dice."""	ask_question
12951	What happens after they get together?	[Event Ordering] It is also a love story , between Ace and Tobio , a trans woman .	ask_question
11468	How often do they visit the dog pound?	[Frequency] Her mommy took her to the dog pound so that she could choose one that she wanted.	ask_question
11729	What time of day do they collect pollen	[Typical Time] These specific animals might be more likely to visit only flowers of the same species.	ask_question
9499	What time of day was the storm?	[Typical Time] It's hail crackled across the comm, and Tara spun to retake her seat at the helm.	ask_question
9799	How long did Muhammad Iqbal consider his proposal?	[Event Duration] In 1930, the poet Muhammad Iqbal proposed a separate Muslim homeland in the northwest of India.	ask_question
2782	How often does the clock tick?	[Frequency] The clock could be heard ticking through the air and glass of the jar.	ask_question
5284	What season comes before winter?	[Event Ordering] As winter approaches, some plants respond by their leaves changing color.	ask_question
12214	For how long did the poor remain under-served?	[Event Duration] A lot of poor people are not going to get served,'' she said.	ask_question
7971	What happened before Jerry swam in circles?	[Event Ordering] Jerry swims in circles until Tom's head has done a 360 , and is then grabbed again .	ask_question
1451	How often does a typical hunter hunt?	[Frequency] , native Archaic Indians began to develop a lasting hunting and gathering culture.	ask_question
10464	How long would he splash and play for?	[Event Duration] He would splash and play until he was ready to go back home, where he would sleep for hours, having worn himself out playing.	ask_question
2068	How long did it take for fossils to be made?	[Event Duration] The fossils that are very distinct at certain times of Earths history are called index fossils.	ask_question
2646	When did they canyon split?	[Typical Time] You can clearly see the same rock layers on opposite sides of the canyon.	ask_question
9304	How often does he move?	[Frequency] He loved spending time with him when he was younger, but he had moved last year.	ask_question
12987	How often does Mama put the jacket in the stopbox?	[Frequency] Mama kept her mink jacket, a family hand-me-down, safe from time in a stopbox, and lent the capturador to my uncle for his stamp collection.	ask_question
9823	How often was the room utilized?	[Frequency] There was even a tiny room in the back of one of the closets.	ask_question
7626	How often does he use his skateboard?	[Frequency] Like the skateboarder, the higher the ramp, the faster he will be going when he reaches the bottom.	ask_question
8454	For how long did American 11 head south?	[Event Duration] The report of American 11 heading south was the first; Delta 1989 was the second.	ask_question
12969	How often does she charm him?	[Frequency] Safti at first resists , but ultimately succumbs to Edwina's charms and falls hopelessly in love with her .	ask_question
9108	When did the lightscreen provide information about the official meals?	[Event Ordering] The lightscreen provided had informed me when and where official meals were taking place, but I hadn't bothered to acknowledge the invitations.	ask_question
1913	For how long did Newman work for the company?	[Event Duration] Newman also has a $5.4 million long-term compensation package the company awarded him upon his appointment as CEO in March 2010, according to the SEC filing.	ask_question
8520	How often are 1804 U.S. silver dollars purchased?	[Frequency] The previous numismatic record holder was an 1804 U.S. silver dollar, which sold for $4.14 million in 1999.	ask_question
12688	How often are the elections?	[Frequency] The Minangkabau custom of freely electing their leaders provided the model for rulership elections in modern federal Malaysia.	ask_question
10765	Did the Spanish always know about Jamaica?	[Stationarity] Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island.	ask_question
3640	How long did she hold the post?	[Event Duration] She held a similar post a few years ago in the school's Elder Law Clinic.	ask_question
7450	How long did it take to construct Lake Mead?	[Event Duration] Not only did it create jobs, but it also created Lake Mead, the massive reservoir that today provides water to all of southern Nevada.	ask_question
2856	Does Mary still have Max today?	[Stationarity] When Mary called Max's name he left the squirrel and happily returned to Mary, wagging his tail as he went.	ask_question
2995	When were the nomads driven out of their lands?	[Typical Time] , these timid, gentle nomads hunting with bow and arrow were driven back from the coasts by waves of sturdy immigrants arriving in outrigger canoes equipped with sails.	ask_question
11175	"How long it take John to read the word ""breathe""?"	[Event Duration] John finds a letter addressed to him , with the word `` Breathe '' written on it .	ask_question
10533	When did they begin doing it?	"[Typical Time] So really, that's what many of the people are doing now,"" he said."	ask_question
13216	For how long has Horton used multiracial society as a personal differentiator?	[Event Duration] Horton has argued from this that he would be comfortable with a multiracial society, and that this distinguished him from his contemporaries.	ask_question
5369	How long did it take the Persian Gulf War to destroy the country's medical infrastructure?	[Event Duration] The Persian Gulf War destroyed much of the country's medical infrastructure, according to a report by the World Health Organization.	ask_question
5251	How long did it last?	[Event Duration] Logs indicate that it began at 9:25 and included the CIA; the FBI; the departments of State, Justice, and Defense; the FAA; and the White House shelter.	ask_question
1086	What happened after Perestrelo was awarded Porto Santo?	[Event Ordering] Zarco and Teixeira were appointed co-go­vern­ors of Madeira, while Perestrelo was awarded Porto Santo.	ask_question
7389	How often are there commotions on the hill?	"[Frequency] I suppose he was attracted to the commotion up the hill."""	ask_question
7970	What happened before Jerry swam in circles?	[Event Ordering] Jerry swims in circles until Tom's head has done a 360 , and is then grabbed again .	ask_question
11905	How often does she recount her desire to be a doctor?	[Frequency] When I was in college, I thought I wanted to be a doctor, she said.	ask_question
12529	What happened after the Muslims took arms?	[Event Ordering] All Muslims-as he defined them-therefore must take up arms in this fight.	ask_question
9441	Is Kayla Rolland's case still active?	"[Stationarity] Concerning the Georgetown Hoya interview where Heston was asked about Rolland, you write: ""There is no indication that [Heston] recognized Kayla Rolland's case."""	ask_question
10571	At what time of day was Mary picking blueberries?	[Typical Time] One day, as Mary was picking the blueberries, she turned around to find that Max was not there.	ask_question
12211	Did the poor remain under-served after the new legislation?	[Stationarity] A lot of poor people are not going to get served,'' she said.	ask_question
12301	How often does the bear rest?	[Frequency] To both the girl and the dog's surprise, there was a small brown bear resting in the bushes.	ask_question
11757	When did the French Revolution begin?	[Typical Time] He argued that the importance of the French Revolution was to continue the process of modernizing and centralizing the French state which had begun under King Louis XIV.	ask_question
4180	What did Shelly do after talking to the puppies?	[Event Ordering] Shelly went to every cage and looked each puppy in the eyes and talked to each one.	ask_question
9201	When did Portugal get involved?	[Typical Time] Spanish rule dictated Portugal's inadvertent involvement in Spain's ongoing wars.	ask_question
6934	How often did Portugal send out  expeditions?	[Frequency] Portuguese explorers then embarked upon Macau (now Macao), the Congo, and various other parts of Africa, including the Sudan.	ask_question
13220	For how long has Horton used multiracial society as a personal differentiator?	[Event Duration] Horton has argued from this that he would be comfortable with a multiracial society, and that this distinguished him from his contemporaries.	ask_question
4721	How long did it take to succeed?	[Event Duration] To this end it succeeded with relatively few blood-soaked episodes in its colonial history.	ask_question
9835	How often are planes hijacked?	"[Frequency] At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes."""	ask_question
452	What happens after they help someone maintain their home?	"[Event Ordering] The issues I've dealt with through the years have been on the side of helping people maintain the basics of life - home, healt h care, jobs and family."""	ask_question
9250	How long was it a violent world	[Event Duration] The new novel takes place in a morally gray and often violent world.	ask_question
6663	How often do they record their safety performance?	[Frequency] As measured by these standards, we recorded the best year in safety performance in our Company's history.	ask_question
1757	What did the blue ball do after the red ball said hello?	[Event Ordering] The cute red ball rolled over to the blue ball and said hello.	ask_question
11600	When did he go to bed?	[Typical Time] After dinner, he went to look for Max one last time before he had to take a bath and go to bed.	ask_question
8313	What did the great man do that caught Spear's attention?	[Event Ordering] At the sight of the great man, Spear flushed crimson, and then his look of despair slowly disappeared; and into his eyes there came incredulously hope and gratitude.	ask_question
11552	What did Mzoudi do after moving to Hamburg ?	[Event Ordering] Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995.	ask_question
2345	How long ago did the organization close?	[Typical Time] The letterhead on correspondence still bears the Bexar County Legal Aid name, even though the organization is no longer.	ask_question
6520	How long does a case usually last?	[Event Duration] Johnson is a justice on California's Second District Court of Appeal.	ask_question
10087	When did Roosevelt receive the letter?	[Typical Time] He was asked to lend his support by writing a letter, with Szilard, to President Roosevelt, recommending the U.S. pay attention and engage in its own nuclear weapons research.	ask_question
8054	Was it always located there	[Stationarity] Dam Square was landlocked for the first time in its history.	ask_question
12901	How long did Peter want to bark for?	[Event Duration] Peter wanted to show off his bark, but he was too tired.	ask_question
12097	What will happen next?	[Event Ordering] Although disruption efforts around the world had achieved some successes, the core of  Bin Laden's organization remained intact.	ask_question
2810	What time was the packaging thrown out?	[Typical Time] About a third of what we throw out is packaging.	ask_question
4217	What Philip did after routing his troops?	[Event Ordering] Having damaged the enemy's cohesion, Philip ordered his troops to press forward and quickly routed them.	ask_question
3527	How long has Sarah dated Michael?	[Event Duration] Sarah is dating the curator Michael Pierce , a single father who is away from the museum that night .	ask_question
3724	How long did it take Picasso to enter the building?	[Event Duration] Picasso manages to enter the building , but is prevented from killing Nunemarcher by Cross , and escapes after being shot by Kane .	ask_question
4469	How often do they give directions to their location?	[Frequency] Another example is, I am at the corner of Maple Street and Main Street. Both streets may be a good reference for anyone living in your town.	ask_question
4638	How often had they worked together before?	[Frequency] This time, however, the anonymous artist worked in tandem with the director of Bristol museum in the UK.	ask_question
4222	How long did it take for Philip's troops to damage the enemy's cohesion?	[Event Duration] Having damaged the enemy's cohesion, Philip ordered his troops to press forward and quickly routed them.	ask_question
5893	How long were they taking photos?	[Event Duration] they were heard saying when the photo was taken -- while Rowlf is clearly a selfie king.	ask_question
3029	How long did the 1945 interview last?	"[Event Duration] In a 1945 interview, Camus rejected any ideological associations: ""No, I am not an existentialist."	ask_question
10282	How long did it take Cathy Wallace to grow up?	[Event Duration] Cathy Wallace did not always know what she wanted to be when she grew up.	ask_question
2994	When were the nomads driven out of their lands?	[Typical Time] , these timid, gentle nomads hunting with bow and arrow were driven back from the coasts by waves of sturdy immigrants arriving in outrigger canoes equipped with sails.	ask_question
5594	How many times per year does John and his father meet?	[Frequency] When they meet , John accuses his father of abandoning him , but his father says that `` he left it up to John . ''	ask_question
4223	How long did it take for Philip's troops to damage the enemy's cohesion?	[Event Duration] Having damaged the enemy's cohesion, Philip ordered his troops to press forward and quickly routed them.	ask_question
273	How long were they at the playground?	[Event Duration] Tommy and Suzy (brother and sister) went to the playground one afternoon with their mom and dad, Jan and Dean.	ask_question
5013	When did they start playing?	[Typical Time] They like to play hopscotch or jump rope but that day they wanted to play tag.	ask_question
5397	What did he do after he realized this?	[Event Ordering] Finley only realizes with hindsight that his misdeeds far surpass those of Violet .	ask_question
4626	How long did they work in tandem?	[Event Duration] This time, however, the anonymous artist worked in tandem with the director of Bristol museum in the UK.	ask_question
8135	How long is the game	[Event Duration] Every Saturday we would go to the park and play Toodles' favorite game.	ask_question
13096	How many times did she throw the ball at the surface?	[Frequency] The angle at which it strikes the surface tells us how it will bounce off.	ask_question
10234	What did Pushkin do after his graduation?	[Event Ordering] Pushkin published his first poem at the age of fifteen, and was widely recognized by the literary establishment by the time of his graduation from the Tsarskoye Selo Lyceum.	ask_question
9660	At what time do the wafers get placed on tracks?	[Typical Time] The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks.	ask_question
1885	What happened after Ronnie and Riya were killed?	[Event Ordering] The group are chased by the assassins and Ronnie and Riya are killed .	ask_question
3729	How long did it take Picasso to enter the building?	[Event Duration] Picasso manages to enter the building , but is prevented from killing Nunemarcher by Cross , and escapes after being shot by Kane .	ask_question
1269	When did Perak become prime minister?	[Typical Time] But the key figure in the sultanate was Tun Perak, bendahara (prime minister) and military commander.	ask_question
7742	How old was King Zog when he founded RTSH?	[Typical Time] Radio Televizioni Shqiptar (RTSH) is the public radio and TV broadcaster of Albania, founded by King Zog in 1938.	ask_question
1300	How often do you wipe your feet on the mat?	[Frequency] After wiping your feet on the mat you reach out to touch the brass knocker on the door.	ask_question
12190	What did Mark do right after he found out that he became a judge?	[Event Ordering] Growing up on a farm near St. Paul, L. Mark Bailey didn't dream of becoming a judge.	ask_question
8694	How often does the chairman speak publicly?	"[Frequency] Ratners's chairman, Gerald Ratner, said the deal remains of ""substantial benefit to Ratners."""	ask_question
2105	What did Jerry do after coming home from the pier?	[Event Ordering] Jerry goes out to the pier and casts his favorite bait : cheese .	ask_question
3550	How often is Michael at the museum?	[Frequency] Sarah is dating the curator Michael Pierce , a single father who is away from the museum that night .	ask_question
5113	How long did it take for scientists to recognize atoms?	[Event Duration] So what do we call a substance that has only a single type of atom?	ask_question
2341	How long ago did the organization close?	[Typical Time] The letterhead on correspondence still bears the Bexar County Legal Aid name, even though the organization is no longer.	ask_question
3416	How often do they play hide and seek?	[Frequency] They also liked to go through the small forest behind the house, making a game of hide and seek.	ask_question
3191	What happened to the stock price of Meridian National Corp. after the trade?	[Event Ordering] Meridian National Corp. said it sold 750,000 shares of its common stock to the McAlpine family interests, for $1 million, or $1.35 a share.	ask_question
11960	How long does it take Deborah to wash and prepare the lettuce?	[Event Duration] Deborah likes to add some sugar with the lettuce so that Billy and Sally know what it is like to have sweet tastes in their life.	ask_question
4008	How often does the mother look on?	[Frequency] The mother, looking on, learns of the ways of God with men.	ask_question
9902	How often do the tenants have issues with other people?	[Frequency] Several tenants blame other neighbors as perpetrators of the rift, however.	ask_question
7360	How long did the massage take?	[Event Duration] Gonzo treated himself to a massage today to try to work out all of his stuntman kinks.	ask_question
11209	What time did they begin the journey?	[Typical Time] Farragut convinces the ad men to make the motorcycle journey on the pretext of looking for a location to shoot a commercial .	ask_question
4818	How long did it take for the Serbian to beat Tsonga?	[Event Duration] The Serbian, who beat Tsonga in the 2008 Australian Open final, ended the dream run of Australian 18-year-old Bernard Tomic.	ask_question
3752	How long does a blackout last?	[Event Duration] During a blackout , the house is attacked by aliens , who had previously killed Joe and abducted Iris .	ask_question
5671	How long did the discovery take?	[Event Duration] This led to the discovery that the Earths crust was broken up into regions, or plates.	ask_question
12859	How long did it take to chose the operatives?	[Event Duration] The two suicide operatives chosen were Hassan al Khamri and Ibrahim al Thawar, also known as Nibras.	ask_question
4386	How long did Ana study everyday, so that she could be the best at spelling?	[Event Duration] Ana studied very hard to be the best she could be at spelling.	ask_question
3849	How long did Einstein take to publish his wave equation?	[Event Duration] In another major paper from this era, Einstein gave a wave equation for de Broglie waves, which Einstein suggested was the Hamilton-Jacobi equation of mechanics.	ask_question
5049	When would Khallad and Nashiri be introduced?	[Typical Time] Early in chapter 5 we introduced, along with Khalid Sheikh Mohammed, two other men who became operational coordinators for al Qaeda: Khallad and Nashiri.	ask_question
12731	How many times a week did Wallace go to school?	[Frequency] Wallace, 38, called Gastonia home from the age of 8 until she graduated from Hunter Huss High School in 1983.	ask_question
12414	When did court start?	"[Typical Time] But Judge Thornton declared in court, ""When these orders are entered, you don't just do whatever you damn well please and ignore them."""	ask_question
6963	How long does it take to eat breakfast?	"[Event Duration] If you have ever heard, ""Eat a good breakfast"", thats why."	ask_question
11824	How long did he try to please the persons who came to the store?	[Event Duration] He tried and tried to please every person who came to the store, but they all picked smaller puppies.	ask_question
3089	How long did it take to afford a lawyer?	"[Event Duration] We may promise ""justice for all,"" but for those who can't afford a lawyer, that promise is often a lie."	ask_question
916	How long did he jump on the sidewalk?	[Event Duration] and jumped up and down on the side walk trying to get him to see them.	ask_question
6925	How often did Portugal send out  expeditions?	[Frequency] Portuguese explorers then embarked upon Macau (now Macao), the Congo, and various other parts of Africa, including the Sudan.	ask_question
10494	How long did the trips last?	[Event Duration] One result was two NSC-led interagency trips to Persian Gulf states in 1999 and 2000.	ask_question
4462	How long were they drilling in the Gulf for oil?	[Event Duration] The well was capped three months later, but not before millions of barrels of oil spilled into the Gulf.	ask_question
6173	What time does the Alexander Hamilton Society usually meet?	[Typical Time] Columbia University's student group for ROTC cadets and Marine officer candidates is named the Alexander Hamilton Society.	ask_question
4444	How long did Schrodinger oppose pseudotensors?	[Event Duration] The use of non-covariant objects like pseudotensors was heavily criticized in 1917 by Erwin Schrodinger and others.	ask_question
792	When did Diggler start modeling?	[Typical Time] Diggler became a prominent model and began appearing in pornographic films , after Which his career took off .	ask_question
11668	How often did Goode speak with Gorbachev?	[Frequency] W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost.	ask_question
6510	How many times a week does Johnson go to court?	[Frequency] Johnson is a justice on California's Second District Court of Appeal.	ask_question
5344	How often does Martinez work?	[Frequency] Martinez works two jobs as a physician's assistant and supports his elderly parents and 8-year-old son.	ask_question
2225	What happened after the press conference?	[Event Ordering] After meeting Maharishi Mahesh Yogi , the Beatles quickly return to London , and in a press conference they say they made a mistake when they trusted Maharishi .	ask_question
1019	How long was he barking at the ducks?	[Event Duration] He ran all around the pond, barking at the ducks.	ask_question
12466	How long did it take to count the votes	[Typical Time] A majority of 65 votes in the 128-member body was required to reject his reinstatement.	ask_question
10668	What happened after the Soviet national shipping company found out they'd been excluded?	[Event Ordering] Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid.	ask_question
5275	How long will winter last?	[Event Duration] As winter approaches, some plants respond by their leaves changing color.	ask_question
5696	How long will the person spend walking in the wrong direction?	[Event Duration] The person may walk a half mile in the wrong direction!	ask_question
3532	How long has Sarah dated Michael?	[Event Duration] Sarah is dating the curator Michael Pierce , a single father who is away from the museum that night .	ask_question
9841	How often are planes hijacked?	"[Frequency] At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes."""	ask_question
2281	How often are Continents created?	[Frequency] It too has many Continents are much older than ocean basins.	ask_question
9599	How long was the counter-attack?	[Event Duration] His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border.	ask_question
1576	How long has the company had an incident-free environment?	"[Event Duration] The company called that record ""a reflection on our commitment to achieving an incident-free environment, all the time, everywhere,"" the SEC filing states."	ask_question
10067	How often do they evolve	[Frequency] Whatever their origins, their culture evolved under the pressure and influence of foreign forces.	ask_question
1172	What time did Milton get married?	[Typical Time] Spontini, one of whose best operas was based on the life of that much mis-married enthusiast for divorce, John Milton, took to wife a member of the Erard family.	ask_question
1113	How long did it take for him to be born?	[Event Duration] Estimates of his date of birth vary by well over a century.	ask_question
1054	How often are there co-governors appointed?	[Frequency] Zarco and Teixeira were appointed co-go­vern­ors of Madeira, while Perestrelo was awarded Porto Santo.	ask_question
5731	When did he get chained to the table?	[Typical Time] Convicted murderer Seth Baxter awakens chained to a table beneath a pendulum blade .	ask_question
3357	What happened before the health initiatives were passed?	[Event Ordering] The state has been first to pass major public health initiatives that have spread throughout the country.	ask_question
8887	How often are such initiatives passed?	[Frequency] California was first to require smog checks for clean air, pass anti-tobacco initiatives and bike helmets laws.	ask_question
7796	How long was her mother married to her second husband?	[Event Duration] She later adopted the stage name Fontaine -- the name of her mother's second husband.	ask_question
1726	How often are they required to appear?	[Frequency] The leaders of the Department of Homeland Security now appear before 88 committees and subcommittees of Congress.	ask_question
11114	How often does he consider confronting people?	[Frequency] If he wanted to , he could confront him , but he lacks the audacity to do so .	ask_question
12806	How often does he visit the tomb?	[Frequency] His son and successor, Caracalla, a great admirer, visited the tomb during his own reign.	ask_question
519	What did Safti do after falling in love with Edwina?	[Event Ordering] Safti admits his love for Edwina to Lord Esketh , who is now sympathetic toward this good man's plight .	ask_question
5679	When did the person start walking in the wrong direction?	[Typical Time] The person may walk a half mile in the wrong direction!	ask_question
3986	What do you have to do after placing the pennies in vinegar?	[Event Ordering] For example, you can undo the tarnish on copper pennies by placing them in vinegar.	ask_question
9194	How long has Spain been at war?	[Event Duration] Spanish rule dictated Portugal's inadvertent involvement in Spain's ongoing wars.	ask_question
5386	How long did it take Finley to realize?	[Event Duration] Finley only realizes with hindsight that his misdeeds far surpass those of Violet .	ask_question
5220	How many times did World War I happen?	[Frequency] Schools were scarce between World War I and World War II.	ask_question
1330	What is likely to happen afterward?	[Event Ordering] After wiping your feet on the mat you reach out to touch the brass knocker on the door.	ask_question
4117	How many times per month does he lay in her lap?	[Frequency] Soaking wet, he ran toward where I was eating a sandwich on the grass and curled right up in my lap so I could make him feel better.	ask_question
5216	About how much time passed between World War I and World War II?	[Event Duration] Schools were scarce between World War I and World War II.	ask_question
4884	Is Alexander still fighting today?	[Stationarity] Alexander then faced the Assakenoi, who fought in the strongholds of Massaga, Ora and Aornos.	ask_question
10385	How often does Emiliano Malaquez make sculptures?	"[Frequency] Search ""Emiliano Malaquez"" and you'll find he's a master of the ""captured moment"" school of sculpture."	ask_question
11250	What happens after they explain why older Oklahomans need lawyers?	[Event Ordering] It's just this hard when I try to answer the question: Why do older Oklahomans need lawyers?	ask_question
3557	When will Michael be back at the museum?	[Typical Time] Sarah is dating the curator Michael Pierce , a single father who is away from the museum that night .	ask_question
5303	How often did he use his favorite chair?	[Frequency] He jumped on his favorite chair and looked down as Maggie ran under it.	ask_question
6380	How much time did his people spend trying to break him?	[Event Duration] His people had tried and tried to break him, but he was wild at heart.	ask_question
5947	What happens after story time?	[Event Ordering] Their mother told them they could go to the library every Tuesday for their story time.	ask_question
7243	How long were her hands clasped?	[Event Duration] A thin, washed-out, pretty woman stood up, and clasped her hands in front of her.	ask_question
9994	How often does Pushkin speak at events?	[Frequency] Pushkin gradually became committed to social reform and emerged as a spokesman for literary radicals.	ask_question
3474	How long did it take for the soil to become rich?	[Event Duration] They are very flat areas and they have very rich soils.	ask_question
12032	How many times did Billy have to reach down to blow on the hot oatmeal?	[Frequency] Billy reached down and blew on the hot oatmeal, to cool it down for Tumble to eat.	ask_question
5768	What time of day did he flee?	[Typical Time] He ordered the evacuation of al Qaeda's Kandahar airport compound and fled- first to the desert area near Kabul, then to Khowst and Jalalabad, and eventually back to Kandahar.	ask_question
9784	How often did Muhammad Iqbal make a proposal?	[Frequency] In 1930, the poet Muhammad Iqbal proposed a separate Muslim homeland in the northwest of India.	ask_question
10394	When did Emiliano Malaquez finish his sculpture?	"[Typical Time] Search ""Emiliano Malaquez"" and you'll find he's a master of the ""captured moment"" school of sculpture."	ask_question
5407	How often do Ransome and Fern talk?	[Frequency] Ransome looks after her as well as for young Fern Simon , who has declared her love for him .	ask_question
11546	What did Mzoudi do after moving to Hamburg ?	[Event Ordering] Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995.	ask_question
12608	How often does he look at Violet?	[Frequency] In this case he looks to his girlfriend , Violet .	ask_question
1995	How often did the U.S. and Palau meet to work on the agreement?	[Frequency] The agreement includes some U.S. aid for Palau, Kyota said, but he said those details remained to be worked out as well.	ask_question
843	How long did it take to earn a bachelor's degree?	[Event Duration] After earning bachelor's and master's degrees in education and a few years teaching, Kilgore enrolled at the UM law school.	ask_question
2348	When was the letterhead printed?	[Event Ordering] The letterhead on correspondence still bears the Bexar County Legal Aid name, even though the organization is no longer.	ask_question
3715	Does the digestive system still function when the mouth isn't in use?	[Stationarity] The major organs of the digestive system include the mouth, esophagus, stomach, and small and large in- testines.	ask_question
8575	How long had Edwina known Safti?	[Event Duration] Edwina similarly falls into disfavor with the Maharani , who explains that Safti has been raised to lead a pure life and that Edwina is unworthy of him .	ask_question
4667	How many more times will they needed funding?	[Frequency] It is spending more than $500 million a year on semiconductor research and development.	ask_question
6947	What happened after they explored the Sudan?	[Event Ordering] Portuguese explorers then embarked upon Macau (now Macao), the Congo, and various other parts of Africa, including the Sudan.	ask_question
6291	Is the family law clinic now recognized in Pomona?	[Stationarity] The lack of a legal aid presence in Pomona prompted the bar association and court officials to start their own once-monthly family law clinic.	ask_question
2754	How long would the show last?	[Event Duration] He filled three stories of the building with his art in 36 hours under tight security, as only a few museum staff were aware of the shows' imminent arrival.	ask_question
6894	How long does it take for potential clients to learn about the services available?	[Event Duration] Our emphasis has been on having our potential clients know about us and deliver services to them, Dudovitz said.	ask_question
5735	How long did she tell the story?	[Event Duration] She began to tell the story of Majestic, the wild horse who could not be calmed.	ask_question
2475	What did they do after the morning?	[Event Ordering] They packed up the car and drove to the library, ready for a fun morning.	ask_question
8069	When did if officially become landlocked	[Typical Time] Dam Square was landlocked for the first time in its history.	ask_question
