context,question,category,answer
Corbin reported to the department in charge of school violence that his friend has been beaten.,How many times a week does Corbin report his friend?,Frequency, once
Corbin reported to the department in charge of school violence that his friend has been beaten.,How long has Corbin's friend been beat up?,Event Duration, 1 hour
Corbin reported to the department in charge of school violence that his friend has been beaten.,When did Corbin report the violence?,Typical Time, 10:00 AM
Corbin reported to the department in charge of school violence that his friend has been beaten.,What happened after Corbin reported the violence?,Event Ordering, the school was closed
"Marta needs help with the PC. On Joel's advice, she will contact Cynthia or Elena as they might know someone.",How often does Marta need help?,Frequency, every few months
"Marta needs help with the PC. On Joel's advice, she will contact Cynthia or Elena as they might know someone.",How long will it take to get help?,Event Duration, 1 hour
"Marta needs help with the PC. On Joel's advice, she will contact Cynthia or Elena as they might know someone.",When did she get help?,Typical Time, 12:00 PM
"Marta needs help with the PC. On Joel's advice, she will contact Cynthia or Elena as they might know someone.",What happens after she is able to get help?,Event Ordering, she gets better
Ann doesn't know what she should give to her dad as a birthday gift. He's turning 50. Fiona tries to help her and suggests a paintball match.,How often does Ann get a birthday gift?,Frequency, once a year
Ann doesn't know what she should give to her dad as a birthday gift. He's turning 50. Fiona tries to help her and suggests a paintball match.,How long does it take to make a birthday gift?,Event Duration, 1 hour
Ann doesn't know what she should give to her dad as a birthday gift. He's turning 50. Fiona tries to help her and suggests a paintball match.,When did Ann get a birthday gift?,Typical Time, 12:00 PM
Ann doesn't know what she should give to her dad as a birthday gift. He's turning 50. Fiona tries to help her and suggests a paintball match.,What happens after he isn't sure what to do after the birthday gift is given?,Event Ordering, he goes home
Ann doesn't know what she should give to her dad as a birthday gift. He's turning 50. Fiona tries to help her and suggests a paintball match.,Is Ann still trying to help her dad tomorrow?,Stationarity, no
Fatima is worried about Jenson and Alene. Alene has issues. Lincoln doesn't want Fatima to worry about others too much.,How often does Alene have issues with other people?,Frequency, every week
Fatima is worried about Jenson and Alene. Alene has issues. Lincoln doesn't want Fatima to worry about others too much.,How long has Alene had issues with Jenson?,Event Duration, 1 year
Fatima is worried about Jenson and Alene. Alene has issues. Lincoln doesn't want Fatima to worry about others too much.,When did Alene have issues with Jenson?,Typical Time, 1990
Fatima is worried about Jenson and Alene. Alene has issues. Lincoln doesn't want Fatima to worry about others too much.,What happened after Alene had issues with Jenson and Alene?,Event Ordering, fatima helped alene
"Bob is going to help Lisa clean the house, he will clean the bathroom.",How often does he clean the bathroom?,Frequency, once a week
"Bob is going to help Lisa clean the house, he will clean the bathroom.",How long will it take to clean the bathroom?,Event Duration, 1 hour
"Bob is going to help Lisa clean the house, he will clean the bathroom.",When did he clean the bathroom?,Typical Time, 1:00 PM
"Bob is going to help Lisa clean the house, he will clean the bathroom.",What happens after he is going to clean the bathroom?,Event Ordering, he gets paid
luke and martial want to help the team and play despite their injuries. They will meet at carrington and go to the coach's office.,How often do they meet?,Frequency, every week
luke and martial want to help the team and play despite their injuries. They will meet at carrington and go to the coach's office.,How long will they meet at the coach's office?,Event Duration, 1 hour
luke and martial want to help the team and play despite their injuries. They will meet at carrington and go to the coach's office.,When will they meet at the office?,Typical Time, 12:00 PM
luke and martial want to help the team and play despite their injuries. They will meet at carrington and go to the coach's office.,What happens after they go to the coach's office?,Event Ordering, they get a plan
Emily and Julie wish Merry Christmas to each other.,How often do they wish Merry Christmas?,Frequency, once a year
Emily and Julie wish Merry Christmas to each other.,How long will the Christmas season last?,Event Duration, 1 month
Emily and Julie wish Merry Christmas to each other.,When did they start Christmas?,Typical Time, 12:00 PM
Emily and Julie wish Merry Christmas to each other.,What did they do after Christmas?,Event Ordering, went on vacation
Ricky's new neighbours are nice but loud. They own a parakeet that makes a lot of noise throughout the night.,How often do Ricky's new neighbours make noise?,Frequency, every night
Ricky's new neighbours are nice but loud. They own a parakeet that makes a lot of noise throughout the night.,How long are Ricky's new neighbours?,Event Duration, 1 year
Ricky's new neighbours are nice but loud. They own a parakeet that makes a lot of noise throughout the night.,When did Ricky's new neighbours arrive for work?,Typical Time, 9:00 AM
Ricky's new neighbours are nice but loud. They own a parakeet that makes a lot of noise throughout the night.,What happens after the noise is made?,Event Ordering, the neighbors go to sleep
Ricky's new neighbours are nice but loud. They own a parakeet that makes a lot of noise throughout the night.,Are Ricky's new neighbours still loud after the parakeet is purchased?,Stationarity, no
Sandra and Brenda used to work together in the clothes factory 25 years ago. Sandra still lives in Kings Norton. Brenda lives in Stoke now. Her husband Bill died 5 years ago. They will meet in Birmingham for a lunch next Saturday about 11. They want to organize a reunion for the Lister's girls.,How often do they meet?,Frequency, once a year
Sandra and Brenda used to work together in the clothes factory 25 years ago. Sandra still lives in Kings Norton. Brenda lives in Stoke now. Her husband Bill died 5 years ago. They will meet in Birmingham for a lunch next Saturday about 11. They want to organize a reunion for the Lister's girls.,How long will the lunches last?,Event Duration, 2 hours
Sandra and Brenda used to work together in the clothes factory 25 years ago. Sandra still lives in Kings Norton. Brenda lives in Stoke now. Her husband Bill died 5 years ago. They will meet in Birmingham for a lunch next Saturday about 11. They want to organize a reunion for the Lister's girls.,When did they meet?,Typical Time, 12:00 PM
Sandra and Brenda used to work together in the clothes factory 25 years ago. Sandra still lives in Kings Norton. Brenda lives in Stoke now. Her husband Bill died 5 years ago. They will meet in Birmingham for a lunch next Saturday about 11. They want to organize a reunion for the Lister's girls.,What happened after they met?,Event Ordering, they went home
Sandra and Brenda used to work together in the clothes factory 25 years ago. Sandra still lives in Kings Norton. Brenda lives in Stoke now. Her husband Bill died 5 years ago. They will meet in Birmingham for a lunch next Saturday about 11. They want to organize a reunion for the Lister's girls.,Will they still be in Birmingham after the lunch break?,Stationarity, no
"Joan and John are going to watch ""A Star is Born"" on Thursday around 8 p.m.",How often are they going to watch A Star is Born?,Frequency, once
"Joan and John are going to watch ""A Star is Born"" on Thursday around 8 p.m.",When did they watch the movie?,Typical Time, 8:00 PM
"Joan and John are going to watch ""A Star is Born"" on Thursday around 8 p.m.","Will they still be watching ""A Star is Born after the movie?",Stationarity, no
Donna will pay George a visit tonight to discuss a personal matter.,How many times a week does George make visits?,Frequency, once
Donna will pay George a visit tonight to discuss a personal matter.,How long will the visit last?,Event Duration, 1 hour
Donna will pay George a visit tonight to discuss a personal matter.,When will George arrive for visit?,Typical Time, 7:00 PM
Donna will pay George a visit tonight to discuss a personal matter.,What will George do after the visit?,Event Ordering, go home
Louis finishes the conversation with Fabian because his mother is calling.,How often does Louis and Fabian talk?,Frequency, every day
Louis finishes the conversation with Fabian because his mother is calling.,How long does the conversation between Fabian and Fabian take?,Event Duration, 10 minutes
Louis finishes the conversation with Fabian because his mother is calling.,When did Louis finish the conversation?,Typical Time, 1:00 PM
Louis finishes the conversation with Fabian because his mother is calling.,What did Louis do after the conversation?,Event Ordering, he went home
Louis finishes the conversation with Fabian because his mother is calling.,Is Louis still talking to Fabian tomorrow?,Stationarity, no
Irene will take Crystal's son shopping for clothes.,How often does Irene go to the store?,Frequency, every week
Irene will take Crystal's son shopping for clothes.,How long will Irene take to go to the store?,Event Duration, 1 hour
Irene will take Crystal's son shopping for clothes.,When will Irene go to the store?,Typical Time, 1:00 PM
Irene will take Crystal's son shopping for clothes.,What happens after Irene goes to the store?,Event Ordering, she buys clothes
Irene will take Crystal's son shopping for clothes.,Irene will take Crystal's son to the store?,Stationarity, yes
Tony sent a photo of his cat to Amy and Lucas.,How often does Tony send his cat to Amy and Lucas?,Frequency, once
Tony sent a photo of his cat to Amy and Lucas.,How long did it take to send the photo to Amy and Lucas?,Event Duration, 1 minute
Tony sent a photo of his cat to Amy and Lucas.,When did they send the photo?,Typical Time, 12:00 PM
Tony sent a photo of his cat to Amy and Lucas.,What did they do after the photo was sent to them?,Event Ordering, they looked at it
Tony sent a photo of his cat to Amy and Lucas.,Is Tony still sending the photo to Amy and Lucas tomorrow?,Stationarity, no
"Matt got a ticket for Dawid Podsiadlo's concert. Thomas is going, too.",How many times a week does he go to concerts?,Frequency, once
"Matt got a ticket for Dawid Podsiadlo's concert. Thomas is going, too.",How long is the concert?,Event Duration, 2 hours
"Matt got a ticket for Dawid Podsiadlo's concert. Thomas is going, too.",When did the concert begin?,Typical Time, 7:00 PM
"Matt got a ticket for Dawid Podsiadlo's concert. Thomas is going, too.",What happens after the concert?,Event Ordering, they go home
"Matt got a ticket for Dawid Podsiadlo's concert. Thomas is going, too.",Is he still going to be at the concert?,Stationarity, yes
Some girls had to undress because they had been pushed into the pool.,How often are the girls pushed into the pool?,Frequency, once
Some girls had to undress because they had been pushed into the pool.,How long did the girls have to undress?,Event Duration, 1 minute
Some girls had to undress because they had been pushed into the pool.,When did the girls get to the pool?,Typical Time, 1:00 PM
Some girls had to undress because they had been pushed into the pool.,What did the girls do after they were pushed into the pool?,Event Ordering, they got wet
Mico and Jeff will go to the village party. Jeff will drive.,How often do they go to the village party?,Frequency, once a year
Mico and Jeff will go to the village party. Jeff will drive.,When will they go to the village party?,Typical Time, 1:00 PM
Mico and Jeff will go to the village party. Jeff will drive.,What will they do after the village party?,Event Ordering, go home
Mico and Jeff will go to the village party. Jeff will drive.,Will they be back after the village party?,Stationarity, yes
Paul can couch the game on Saturday as Matthew hasn't found anyone to do that yet.,How often does Paul couch the game?,Frequency, every week
Paul can couch the game on Saturday as Matthew hasn't found anyone to do that yet.,How long does the game last?,Event Duration, 2 hours
Paul can couch the game on Saturday as Matthew hasn't found anyone to do that yet.,When did the game begin?,Typical Time, 12:00 PM
Paul can couch the game on Saturday as Matthew hasn't found anyone to do that yet.,What happens after the game?,Event Ordering, they go home
Paul can couch the game on Saturday as Matthew hasn't found anyone to do that yet.,Is Paul still looking for someone to do the game tomorrow?,Stationarity, no
Freddy will pick Luke up at about 3:15 pm.,How many times a week does Freddy pick up after 3:15 pm?,Frequency, once
Freddy will pick Luke up at about 3:15 pm.,How long will it take to pick up after 3:15 pm?,Event Duration, 15 minutes
Freddy will pick Luke up at about 3:15 pm.,When did Freddy pick up after 3:15 pm?,Typical Time, 4:00 PM
Freddy will pick Luke up at about 3:15 pm.,What time of day will they pick up after 3:15 pm?,Event Ordering, 4:00 pm
Freddy will pick Luke up at about 3:15 pm.,Is Freddy still picking up after 3:15 pm?,Stationarity, no
Ryan and Jack are going to the casting for a dance show.,How often are they going to the dance show?,Frequency, once
Ryan and Jack are going to the casting for a dance show.,How long is the dance show?,Event Duration, 2 hours
Ryan and Jack are going to the casting for a dance show.,When did they go to the dance show?,Typical Time, 7:00 PM
Ryan and Jack are going to the casting for a dance show.,What happens after they go to the dance show?,Event Ordering, they dance
Ryan and Jack are going to the casting for a dance show.,Are they still going to the dance show after the casting?,Stationarity, yes
Joanne is going to go back home to France for the holidays. She's going to cheer her mum up because her parents separated a few months ago. Evelyn offers Joanne to spend Christmas together if she brings her mum over here.,How often does Joanne go to France?,Frequency, once a year
Joanne is going to go back home to France for the holidays. She's going to cheer her mum up because her parents separated a few months ago. Evelyn offers Joanne to spend Christmas together if she brings her mum over here.,How long did the holidays last?,Event Duration, 1 week
Joanne is going to go back home to France for the holidays. She's going to cheer her mum up because her parents separated a few months ago. Evelyn offers Joanne to spend Christmas together if she brings her mum over here.,When did Joanne go to France?,Typical Time, 10:00 AM
Joanne is going to go back home to France for the holidays. She's going to cheer her mum up because her parents separated a few months ago. Evelyn offers Joanne to spend Christmas together if she brings her mum over here.,What happens after she goes to France?,Event Ordering, she spends time with her mum
Raul's had a bad night and day.,How often does Raul have bad nights and days?,Frequency, once a year
Raul's had a bad night and day.,How long did the bad night and day?,Event Duration, 12 hours
Raul's had a bad night and day.,When did Raul's night and day?,Typical Time, 10:00 PM
Raul's had a bad night and day.,What did Raul do after he had a bad night and day?,Event Ordering, he went to sleep
Angie's having an appointment with Doctor McCormick in an hour. She has strong abdominal pain.,How many times a week does she visit the doctor?,Frequency, once
Angie's having an appointment with Doctor McCormick in an hour. She has strong abdominal pain.,How long does an appointment with McCormick take?,Event Duration, 30 minutes
Angie's having an appointment with Doctor McCormick in an hour. She has strong abdominal pain.,When did she go to the appointment room?,Typical Time, 12:00 PM
Angie's having an appointment with Doctor McCormick in an hour. She has strong abdominal pain.,What happens after she has an appointment with McCormick?,Event Ordering, she gets a diagnosis
Angie's having an appointment with Doctor McCormick in an hour. She has strong abdominal pain.,Is she still having problems with the stomach after the appointment?,Stationarity, yes
Kelvin and the other class members will discuss the time for their CAT 2 and share their decision with Naheeda soon.,How many times a week do they discuss CAT 2?,Frequency, once
Kelvin and the other class members will discuss the time for their CAT 2 and share their decision with Naheeda soon.,How long will the class members discuss their decision?,Event Duration, 15 minutes
Kelvin and the other class members will discuss the time for their CAT 2 and share their decision with Naheeda soon.,When did the class members meet?,Typical Time, 12:00 PM
Kelvin and the other class members will discuss the time for their CAT 2 and share their decision with Naheeda soon.,What happens after the class members discuss the CAT 2?,Event Ordering, they decide to take it
"Karen wants something cheaper than sushi for lunch. Linda, Ronnie and Karen will get takeout pasta boxes to the park.",How often do they get takeout pasta boxes?,Frequency, once a week
"Karen wants something cheaper than sushi for lunch. Linda, Ronnie and Karen will get takeout pasta boxes to the park.",How long will the takeout pasta boxes take?,Event Duration, 1 hour
"Karen wants something cheaper than sushi for lunch. Linda, Ronnie and Karen will get takeout pasta boxes to the park.",When will they get to the park?,Typical Time, 1:00 PM
"Karen wants something cheaper than sushi for lunch. Linda, Ronnie and Karen will get takeout pasta boxes to the park.",What will they do after leaving the park?,Event Ordering, go home
"Karen wants something cheaper than sushi for lunch. Linda, Ronnie and Karen will get takeout pasta boxes to the park.",Is Karen still at the park?,Stationarity, no
Marty thinks she has sprained her ankle. Marty wants to go to the doctor tomorrow. Christine will pick up Marcel from school today. Tomorrow Christine will take Marcel to school and Marty to the doctor. Marty will call the school. Christine and Marty will meet around 4.,How many times a week does Marty go to the doctor?,Frequency, once
Marty thinks she has sprained her ankle. Marty wants to go to the doctor tomorrow. Christine will pick up Marcel from school today. Tomorrow Christine will take Marcel to school and Marty to the doctor. Marty will call the school. Christine and Marty will meet around 4.,When will they go to the doctor?,Typical Time, 10:00 AM
Marty thinks she has sprained her ankle. Marty wants to go to the doctor tomorrow. Christine will pick up Marcel from school today. Tomorrow Christine will take Marcel to school and Marty to the doctor. Marty will call the school. Christine and Marty will meet around 4.,What happens after they go to the doctor's office?,Event Ordering, they get a check-up
Marty thinks she has sprained her ankle. Marty wants to go to the doctor tomorrow. Christine will pick up Marcel from school today. Tomorrow Christine will take Marcel to school and Marty to the doctor. Marty will call the school. Christine and Marty will meet around 4.,Is Marty still at the doctor's office tomorrow?,Stationarity, no
Peyton is expecting Cameron to bring the video game. Cameron will probably be out for another week.,How many times a week does Peyton play video games?,Frequency, 3 times
Peyton is expecting Cameron to bring the video game. Cameron will probably be out for another week.,How long will the video game last?,Event Duration, 2 hours
Peyton is expecting Cameron to bring the video game. Cameron will probably be out for another week.,When did Cameron start the video game?,Typical Time, 1:00 PM
Peyton is expecting Cameron to bring the video game. Cameron will probably be out for another week.,What happens after the video game?,Event Ordering, they play other games
Peyton is expecting Cameron to bring the video game. Cameron will probably be out for another week.,Is Cameron still expecting to be out for the video game tomorrow?,Stationarity, no
Alicja's job interview is tomorrow. She will inform Willyx how it goes.,How many times a week does she go to work?,Frequency, 5 times
Alicja's job interview is tomorrow. She will inform Willyx how it goes.,How long is the job interview?,Event Duration, 1 hour
Alicja's job interview is tomorrow. She will inform Willyx how it goes.,When did the interview?,Typical Time, 12:00 PM
Alicja's job interview is tomorrow. She will inform Willyx how it goes.,What happens after the job interview?,Event Ordering, alicja gets the job
"Paul forgot about his physiotherapy and he will schedule a new appointment. Emma will be home after midnight, so Paul will prepare some food for her.",How often does Paul prepare the food?,Frequency, every night
"Paul forgot about his physiotherapy and he will schedule a new appointment. Emma will be home after midnight, so Paul will prepare some food for her.",How long will the appointment last?,Event Duration, 30 minutes
"Paul forgot about his physiotherapy and he will schedule a new appointment. Emma will be home after midnight, so Paul will prepare some food for her.",When will the appointment begin?,Typical Time, 10:00 AM
"Paul forgot about his physiotherapy and he will schedule a new appointment. Emma will be home after midnight, so Paul will prepare some food for her.",Is Paul still home after he is home after midnight?,Stationarity, no
Sean overslept again.,When did Sean oversleep?,Typical Time, 10:00 AM
Chris and Tom are planning a meeting at Chris' place. Chris has a Jacuzzi in his garden. Chris has WiFi and can bring his TV outside. Tom has a low internet limit whenever he's outside of Ireland.,How long will the meeting last?,Event Duration, 2 hours
Chris and Tom are planning a meeting at Chris' place. Chris has a Jacuzzi in his garden. Chris has WiFi and can bring his TV outside. Tom has a low internet limit whenever he's outside of Ireland.,What happens after the meeting?,Event Ordering, they go home
Chris and Tom are planning a meeting at Chris' place. Chris has a Jacuzzi in his garden. Chris has WiFi and can bring his TV outside. Tom has a low internet limit whenever he's outside of Ireland.,Is Chris still planning a Jacuzzi in the garden tomorrow?,Stationarity, no
Ela is not taking Harry's phone calls. Cindy calls Ela at Harry's request.,How often does Ela make phone calls?,Frequency, every day
Ela is not taking Harry's phone calls. Cindy calls Ela at Harry's request.,How long does it take to call Ela?,Event Duration, 1 minute
Ela is not taking Harry's phone calls. Cindy calls Ela at Harry's request.,When did Ela call Ela?,Typical Time, 1:00 PM
Ela is not taking Harry's phone calls. Cindy calls Ela at Harry's request.,What happens after Ela is not taking phone calls?,Event Ordering, she gets a new phone number
"Mike didn't have time to take the dog for a walk, so Adam will take it with him.",How many times a week does Mike take the dog for a walk?,Frequency, 3 times
"Mike didn't have time to take the dog for a walk, so Adam will take it with him.",How long will the walk take?,Event Duration, 30 minutes
"Mike didn't have time to take the dog for a walk, so Adam will take it with him.",When did Mike take the dog for a walk?,Typical Time, 1:00 PM
"Mike didn't have time to take the dog for a walk, so Adam will take it with him.",What did Mike do after the walk?,Event Ordering, he went home
"Mike didn't have time to take the dog for a walk, so Adam will take it with him.",Is Mike still taking the dog for a walk tomorrow?,Stationarity, no
Murphy is going to Poanań on Tuesday and coming back on the same day in the afternoon.,How many times a week does Murphy go to Poana?,Frequency, once
Murphy is going to Poanań on Tuesday and coming back on the same day in the afternoon.,How long is Murphy at Poana?,Event Duration, 1 day
Murphy is going to Poanań on Tuesday and coming back on the same day in the afternoon.,When did Murphy go to Poana?,Typical Time, 12:00 PM
Murphy is going to Poanań on Tuesday and coming back on the same day in the afternoon.,What happens after Murphy is going to Poana after leaving the afternoon?,Event Ordering, he gets there
Murphy is going to Poanań on Tuesday and coming back on the same day in the afternoon.,Is Murphy still going to Poana tomorrow?,Stationarity, no
Gaia has 6 exams this semestre. One is very difficult.,How many times a week does Gaia take exams?,Frequency, once
Gaia has 6 exams this semestre. One is very difficult.,How long does the exam semestre last?,Event Duration, 10 weeks
Gaia has 6 exams this semestre. One is very difficult.,When did the exams begin?,Typical Time, 12:00 PM
Gaia has 6 exams this semestre. One is very difficult.,What happens after the exam is difficult?,Event Ordering, the student gets a bad grade
Gaia has 6 exams this semestre. One is very difficult.,Is Gaia still having exams tomorrow?,Stationarity, no
Mr. Williams invites Ms. Blair for a coffee. They will go to her favourite coffee place near the square in a side alley at 2 p.m. How many times a week does Mr. and Ms.,go to the coffee place?,Frequency, once
Mr. Williams invites Ms. Blair for a coffee. They will go to her favourite coffee place near the square in a side alley at 2 p.m.,How long will they be at the coffee place?,Event Duration, 1 hour
Mr. Williams invites Ms. Blair for a coffee. They will go to her favourite coffee place near the square in a side alley at 2 p.m.,When did they go to the coffee place?,Typical Time, 2:00 PM
Mr. Williams invites Ms. Blair for a coffee. They will go to her favourite coffee place near the square in a side alley at 2 p.m. Is Ms.,Blair still at the coffee place?,Stationarity, no
Serena's skin condition is fine now and she doesn't have to take medication. Tina has a similar condition but takes medication on a daily basis. Tina can call Serena if she has questions.,How often does she take medication?,Frequency, every day
Serena's skin condition is fine now and she doesn't have to take medication. Tina has a similar condition but takes medication on a daily basis. Tina can call Serena if she has questions.,How long does she take to take the medication?,Event Duration, 15 minutes
Serena's skin condition is fine now and she doesn't have to take medication. Tina has a similar condition but takes medication on a daily basis. Tina can call Serena if she has questions.,When did she take the medication?,Typical Time, 10:00 AM
Serena's skin condition is fine now and she doesn't have to take medication. Tina has a similar condition but takes medication on a daily basis. Tina can call Serena if she has questions.,What happens after she takes medication?,Event Ordering, she feels better
"Kristina, Estefania and Jannette are watching America's Top Model.",How often do they watch America's Top Model?,Frequency, every week
"Kristina, Estefania and Jannette are watching America's Top Model.",How long is America's Top Model?,Event Duration, 1 hour
"Kristina, Estefania and Jannette are watching America's Top Model.",When did they watch America's Top Model?,Typical Time, 9:00 PM
"Kristina, Estefania and Jannette are watching America's Top Model.",What did they do after watching America's Top Model?,Event Ordering, they went to bed
Daniel is going to Bologna today. He has to transfer there for a further flight. He will stay at the airport for two hours. Simone will visit Marco in December.,How many times a week does he go to the airport?,Frequency, once
Daniel is going to Bologna today. He has to transfer there for a further flight. He will stay at the airport for two hours. Simone will visit Marco in December.,How long will the flight take?,Event Duration, 1 hour
Daniel is going to Bologna today. He has to transfer there for a further flight. He will stay at the airport for two hours. Simone will visit Marco in December.,When will he arrive at the airport?,Typical Time, 1:00 PM
Daniel is going to Bologna today. He has to transfer there for a further flight. He will stay at the airport for two hours. Simone will visit Marco in December.,What happens after he arrives at the airport?,Event Ordering, he checks in
Daniel is going to Bologna today. He has to transfer there for a further flight. He will stay at the airport for two hours. Simone will visit Marco in December.,Is he still at the airport after the flight?,Stationarity, no
Mike will call Dale back in 2 hours.,How many times a week does Mike call Dale?,Frequency, once
Mike will call Dale back in 2 hours.,How long will Mike call Dale back?,Event Duration, 10 minutes
Mike will call Dale back in 2 hours.,When did Mike call Dale back?,Typical Time, 12:00 PM
Mike will call Dale back in 2 hours.,What happens after Mike calls Dale back?,Event Ordering, they talk
Mike will call Dale back in 2 hours.,Is Mike still calling Dale back tomorrow?,Stationarity, no
Timmy had a bad day at work. Timmy will bring some wine to Gemma's bbq at the weekend.,How many times a week does Timmy bring wine to work?,Frequency, once
Timmy had a bad day at work. Timmy will bring some wine to Gemma's bbq at the weekend.,How long did the day after the wine is brought to the bbq?,Event Duration, 1 hour
Timmy had a bad day at work. Timmy will bring some wine to Gemma's bbq at the weekend.,When did Timmy bring the wine to the bbq?,Typical Time, 12:00 PM
Timmy had a bad day at work. Timmy will bring some wine to Gemma's bbq at the weekend.,What did Timmy do after bringing wine to the bbq?,Event Ordering, he drank it
Timmy had a bad day at work. Timmy will bring some wine to Gemma's bbq at the weekend.,Is he still at work tomorrow?,Stationarity, no
Pat will arrive at around 9 pm. Bart will open the door and work in the morning from home.,How many times a week does Bart go to work?,Frequency, 5 times
Pat will arrive at around 9 pm. Bart will open the door and work in the morning from home.,How long will it take to get to work?,Event Duration, 1 hour
Pat will arrive at around 9 pm. Bart will open the door and work in the morning from home.,When will the door open?,Typical Time, 9 pm
Pat will arrive at around 9 pm. Bart will open the door and work in the morning from home.,What time of day will he arrive?,Event Ordering, 9 pm
Pat will arrive at around 9 pm. Bart will open the door and work in the morning from home.,Is Pat still at home?,Stationarity, no
Erin will meet Ashley in the restaurant for the interview.,How often will they meet with Ashley?,Frequency, once
Erin will meet Ashley in the restaurant for the interview.,How long will the interview last?,Event Duration, 1 hour
Erin will meet Ashley in the restaurant for the interview.,When will the interview begin?,Typical Time, 12:00 PM
Erin will meet Ashley in the restaurant for the interview.,What happens after they meet at the restaurant?,Event Ordering, they go on an interview
"Maria, Kate, Tommy and Sam are going to a conference. Tommy will use Prezi instead of Power Point. He has a Prezi subscription for $10 a month.",How often are they going to the conference?,Frequency, once
"Maria, Kate, Tommy and Sam are going to a conference. Tommy will use Prezi instead of Power Point. He has a Prezi subscription for $10 a month.",How long will the conference last?,Event Duration, 2 days
"Maria, Kate, Tommy and Sam are going to a conference. Tommy will use Prezi instead of Power Point. He has a Prezi subscription for $10 a month.",When did the conference begin?,Typical Time, 1:00 PM
"Maria, Kate, Tommy and Sam are going to a conference. Tommy will use Prezi instead of Power Point. He has a Prezi subscription for $10 a month.",What happens after the conference?,Event Ordering, they go home
"Maria, Kate, Tommy and Sam are going to a conference. Tommy will use Prezi instead of Power Point. He has a Prezi subscription for $10 a month.",Is the conference still being held tomorrow?,Stationarity, no
"Maxwell pays Jeanice for 8 hours of babysitting and is grateful he found her. His son argued with a friend at school, and got agressive when the teacher reacted. Jeanice hasn't noticed if he has acted strangely recently. Maxwell and Jeanice can grab a coffe some time to discuss all the issues.",How many times a week does Jeanice and Jeanice talk?,Frequency, once
"Maxwell pays Jeanice for 8 hours of babysitting and is grateful he found her. His son argued with a friend at school, and got agressive when the teacher reacted. Jeanice hasn't noticed if he has acted strangely recently. Maxwell and Jeanice can grab a coffe some time to discuss all the issues.",How long did the argument between the teacher take?,Event Duration, 10 minutes
"Maxwell pays Jeanice for 8 hours of babysitting and is grateful he found her. His son argued with a friend at school, and got agressive when the teacher reacted. Jeanice hasn't noticed if he has acted strangely recently. Maxwell and Jeanice can grab a coffe some time to discuss all the issues.",When did they go to school?,Typical Time, 9:00 AM
"Maxwell pays Jeanice for 8 hours of babysitting and is grateful he found her. His son argued with a friend at school, and got agressive when the teacher reacted. Jeanice hasn't noticed if he has acted strangely recently. Maxwell and Jeanice can grab a coffe some time to discuss all the issues.",What did they do after the teacher reacted?,Event Ordering, they went to get a coffee
"Maxwell pays Jeanice for 8 hours of babysitting and is grateful he found her. His son argued with a friend at school, and got agressive when the teacher reacted. Jeanice hasn't noticed if he has acted strangely recently. Maxwell and Jeanice can grab a coffe some time to discuss all the issues.",Is Jeanice still a student at school?,Stationarity, no
"Mike, Tom and Ben will go for a beer.","How often do Mike, Tom, and Ben go to the bar?",Frequency, once a week
"Mike, Tom and Ben will go for a beer.",How long will the beer be available?,Event Duration, 1 hour
"Mike, Tom and Ben will go for a beer.",When will they go to the bar?,Typical Time, 10:00 PM
"Mike, Tom and Ben will go for a beer.",What will they do after the beer is gone?,Event Ordering, go to a restaurant
"Mike, Tom and Ben will go for a beer.",Will they still be going to the bar after the beer is gone?,Stationarity, no
Leah met a creepy guy last night at a poetry reading. He knew she speaks German and named all the friends who went to a past event with her. She didn't tell him any of this. He googled her before. Leah had liked a post mentioning him 2 weeks earlier.,How many times a week does Leah meet with the creepy guy?,Frequency, once
Leah met a creepy guy last night at a poetry reading. He knew she speaks German and named all the friends who went to a past event with her. She didn't tell him any of this. He googled her before. Leah had liked a post mentioning him 2 weeks earlier.,When did Leah meet the other person?,Typical Time, 10:00 PM
Leah met a creepy guy last night at a poetry reading. He knew she speaks German and named all the friends who went to a past event with her. She didn't tell him any of this. He googled her before. Leah had liked a post mentioning him 2 weeks earlier.,What did they do after the event?,Event Ordering, they went home
Nicky has just left Sam's place. Her phone is off.,How often does Nicky leave her place?,Frequency, every day
Nicky has just left Sam's place. Her phone is off.,How long has Nicky been at the store?,Event Duration, 1 hour
Nicky has just left Sam's place. Her phone is off.,When did Nicky leave the place?,Typical Time, 12:00 PM
Nicky has just left Sam's place. Her phone is off.,What did Nicky do after leaving the place?,Event Ordering, went home
Ken is trying to play a prank on Greg.,How often does Ken play pranks?,Frequency, every day
Ken is trying to play a prank on Greg.,How long does Ken play pranks?,Event Duration, 10 minutes
Ken is trying to play a prank on Greg.,When did Ken play pranks?,Typical Time, 12:00 PM
Ken is trying to play a prank on Greg.,What did he do after playing a prank on Greg?,Event Ordering, he laughed
Ken is trying to play a prank on Greg.,Is Ken still playing pranks on Greg tomorrow?,Stationarity, no
"Tom arrived safely, but without his luggage.",How often does Tom arrive for work?,Frequency, every day
"Tom arrived safely, but without his luggage.",When did Tom arrive?,Typical Time, 1:00 PM
"Tom arrived safely, but without his luggage.",What did he do after arriving?,Event Ordering, he went to his hotel
The university is throwing a carnival party for kids.,How often are the kids invited to the carnival party?,Frequency, once a year
The university is throwing a carnival party for kids.,How long is the carnival party?,Event Duration, 2 hours
